ACCT,450,400,1574,Rao A,FORENSIC ACCOUNTING+FRAUD EXAMINATION,KRANACHER,2ND 20,9781119494331,RQ,F21,       
ACCT,450,400,1574,Rao A,FORENSIC ACCOUNTING AND FRAUD EXAMINATI,KRANACHER,2,9781119494171,OP,F21,       
ACCT,450,400,1574,Rao A,FORENSIC ACCOUNTING AND FRAUD EXAMINATI,KRANACHER,2,9781119494171,OP,F21,       
ACCT,470,1,1562,Isberg S,BULLET JOURNAL METHOD,CARROLL,18,9780525533337,RQ,F21,       
ACCT,470,1,1562,Isberg S,A $500 HOUSE IN DETROIT,PHILIP,0,9781476798011,RQ,F21,       
ACCT,470,1,1562,Isberg S,PLAYING THE ENEMY,CARLIN,8,9780143115724,RQ,F21,       
ACCT,630,101,1564,Freedman M,FINANCIAL ACCT.THEORY+ANALYSIS,SCHROEDER,12TH 17,9781119186335,RQ,F21,       
ACCT,630,101,1564,Freedman M,FINANCIAL ACCOUNTING THEORY AND ANALYSI,RICHARD G. SCH,12,9781119299646,OP,F21,       
ACCT,680,900,2655,Russo C,"PEARSON'S FED.TAX.,2021:CORP.-MYLAB",RUPERT,21,9780135919378,RQ,S22,       
ACCT,720,900,4033,Romero J,DA COST MANAGEMENT W/CONNECT,BLOCHER,9,9781265625672,IN,F21,       
ACCT,740,900,1567,Martin C,DA CONTEMPORARY AUDITING,KNAPP,12TH,9780000003102,IN,F21,       
ACCT,752,900,4828,Romero J,DA ACCT INFO SYSTEMS W/CONNECT,RICHARDSON,3,9781260983159,IN,S22,       
ACSD,611,1,5607,Srinivasan N,PSYCHOACOUSTICS,LENTZ,20,9781597569897,RQ,F21,       
ACSD,611,1,5607,Srinivasan N,PSYCHOACOUSTICS,LENTZ,0,9781597569910,OP,F21,       
ACSD,611,1,5607,Srinivasan N,HEARING SCIENCE,EMANUEL,8,9780781780476,RC,F21,       
ACSD,611,1,5607,Srinivasan N,INTRODUCTION TO PSYCHOLOGY OF HEARING,MOORE,13,9789004252424,RC,F21,       
ACSD,611,1,5607,Srinivasan N,SENSE OF HEARING,PLACK,3RD 18,9781138632592,RC,F21,       
ACSD,611,1,5607,Srinivasan N,THE SENSE OF HEARING,PLACK,3,9781351802765,OP,F21,       
ACSD,611,1,5607,Srinivasan N,THE SENSE OF HEARING,PLACK,3,9781351802765,OP,F21,       
ACSD,621,1,5608,King A,HANDBOOK OF CLINICAL AUDIOLOGY,KATZ,7,9781469891873,RQ,F21,       
ACSD,622,101,5661,Peitsch K,AUDIOLOGY LAB MANUAL,PEITSCH,2020,9780840214492,RQ,F21,       
ACSD,655,101,5609,Peitsch K,ESSENTIALS OF MODERN HEARING AIDS,RICKETTS,17,9781597568531,RQ,F21,       
ACSD,655,101,5609,Peitsch K,ESSENTIALS OF MODERN HEARING AIDS,RICKETTS,17,9781635500585,OP,F21,       
ACSD,743,1,5610,Ananthakrishnan S,HUMAN AUDITORY EVOKED POTENTIALS,PICTON,10,9781597563628,RC,F21,       
ACSD,743,1,5610,Ananthakrishnan S,HUMAN AUDITORY EVOKED POTENTIALS,PICTON,0,9781597566223,OP,F21,       
ACSD,743,2,6796,Bologna W,HUMAN AUDITORY EVOKED POTENTIALS,PICTON,10,9781597563628,RQ,F21,       
ACSD,743,2,6796,Bologna W,HUMAN AUDITORY EVOKED POTENTIALS,PICTON,0,9781597566223,OP,F21,       
ACSD,755,101,5525,Peitsch K,ESSENTIALS OF MODERN HEARING AIDS,RICKETTS,17,9781597568531,RQ,S22,       
ACSD,755,101,5525,Peitsch K,ESSENTIALS OF MODERN HEARING AIDS,RICKETTS,17,9781635500585,OP,S22,       
ACSD,845,1,5565,King A,VESTIBULAR LAB MANUAL,MYERS,2ND 20,9781635500806,RQ,S22,       
ACSD,845,1,5565,King A,VESTIBULAR LAB MANUAL,MYERS,0,9781635501827,OP,S22,       
AFST,201,1,1737,Worgs D,SOULS OF BLACK FOLK,DUBOIS,5,9781416500414,RQ,F21,       
AFST,201,1,1737,Worgs D,THE SOULS OF BLACK FOLK,DUBOIS,0,9781439117040,OP,F21,       
AFST,201,1,1737,Worgs D,THEIR EYES WERE WATCHING GOD,HURSTON,90,9780060931414,RQ,F21,       
AFST,201,1,1737,Worgs D,BEAUTIFUL STRUGGLE,COATES,8,9780385527460,RQ,F21,       
AFST,201,1,1737,Worgs D,LET NOBODY TURN US AROUND:AFR.-AM.ANTH.,MARABLE,2ND 09,9780742560574,RQ,F21,       
